scheme_code,scheme_name,Risk,nav,scheme_category,nfund_houseav,scheme_type,fund_house
142846, UTI FTIF SERIES XXVIII - PLAN XIII (1134 DAYS) - Direct Plan - Maturity IDCW,nan,10.03130,IDF,,IL&FS Mutual Fund,UTI Mutual Fund
142847, UTI FTIF SERIES XXVIII - PLAN XIII (1134 DAYS) - Direct Plan - Flexi IDCW,nan,10.03120,IDF,,IL&FS Mutual Fund,UTI Mutual Fund
142848, UTI FTIF Series XXVIII-XIII (1134 Days) - Regular Plan - Growth Option,nan,10.03100,IDF,,IL&FS Mutual Fund,UTI Mutual Fund
142849, UTI FTIF SERIES XXVIII - PLAN XIII (1134 DAYS) - Regular Plan - Annual IDCW,nan,10.03100,IDF,,IL&FS Mutual Fund,UTI Mutual Fund
142850, UTI FTIF SERIES XXVIII - PLAN XIII (1134 DAYS) - Regular Plan - Flexi IDCW,nan,10.03100,IDF,,IL&FS Mutual Fund,UTI Mutual Fund
142851, UTI FTIF SERIES XXVIII - PLAN XIII (1134 DAYS) - Regular Plan - Quarterly IDCW,nan,10.03100,IDF,,IL&FS Mutual Fund,UTI Mutual Fund
142852, UTI FTIF SERIES XXVIII - PLAN XIII (1134 DAYS) - Regular Plan - Maturity IDCW,nan,10.03110,IDF,,IL&FS Mutual Fund,UTI Mutual Fund
142857, Kotak FMP Series 220-Direct Plan-Growth Option,nan,10.05090,IDF,,IL&FS Mutual Fund,Kotak Mahindra Mutual Fund
142858, Kotak FMP Series 220-Regular Plan-Growth Option,nan,10.05030,IDF,,IL&FS Mutual Fund,Kotak Mahindra Mutual Fund
142859, Kotak FMP Series 220-Direct Plan-Payout of Income Distribution cum capital withdrawal Option,nan,10.05100,IDF,,IL&FS Mutual Fund,Kotak Mahindra Mutual Fund
142860, Kotak FMP Series 220-Regular Plan-Payout of Income Distribution cum capital withdrawal Option,nan,10.05030,IDF,,IL&FS Mutual Fund,Kotak Mahindra Mutual Fund
142861, HDFC FMP 92D March 2018 (1)-Direct Option-Dividend Option,nan,10.00160,Income,,Close Ended Schemes,HDFC Mutual Fund
142862, HDFC FMP 92D March 2018 (1)-Direct Option-Growth Option,nan,10.00160,Income,,Close Ended Schemes,HDFC Mutual Fund
142863, HDFC FMP 92D March 2018 (1)-Regular Option-Growth Option,nan,10.00150,Income,,Close Ended Schemes,HDFC Mutual Fund
142864, HDFC FMP 92D March 2018 (1)-Regular Option-Dividend Option,nan,10.00150,Income,,Close Ended Schemes,HDFC Mutual Fund
142873, IDFC Fixed Term Plan Series 144 Direct Plan -Growth (1141 Days),nan,10.00580,Income,,Close Ended Schemes,IDFC Mutual Fund
142876, IDFC Fixed Term Plan Series 144 Regular Plan-Growth (1141 Days),nan,10.00560,Income,,Close Ended Schemes,IDFC Mutual Fund
142877, IDFC Fixed Term Plan Series 144 Regular Plan-Halfyerarly-IDCW (1141 Days),nan,10.00560,Income,,Close Ended Schemes,IDFC Mutual Fund
142878, IDFC Fixed Term Plan Series 144 Regular Plan-Periodic-IDCW (1141 Days),nan,10.00560,Income,,Close Ended Schemes,IDFC Mutual Fund
142882, ICICI Prudential Fixed Maturity Plan - Series 82 - 1170 Days Plan R - Half Yearly IDCW Option,nan,9.99590,Income,,Close Ended Schemes,ICICI Prudential Mutual Fund
142883, ICICI Prudential Fixed Maturity Plan - Series 82 - 1170 Days Plan R - Cumulative Option,nan,9.99590,Income,,Close Ended Schemes,ICICI Prudential Mutual Fund
142885, ICICI Prudential Fixed Maturity Plan - Series 82 - 1170 Days Plan R - Direct Plan Cumulative Option,nan,9.99990,Income,,Close Ended Schemes,ICICI Prudential Mutual Fund
142887, ICICI Prudential Fixed Maturity Plan - Series 82 - 1170 Days Plan R - Quarterly IDCW Option,nan,9.99590,Income,,Close Ended Schemes,ICICI Prudential Mutual Fund
